     Town                    Count of Schools
---  --------------------  ------------------
  0  Nahant                                 1
  1  Waban                                  1
  2  Savoy                                  1
  3  Indian Orchard                         1
  4  Granville                              1
  5  Brookfield                             1
  6  Conway                                 1
  7  Otis                                   1
  8  Marion                                 1
  9  Royalston                              1
 10  East Freetown                          1
 11  Whately                                1
 12  Sunderland                             1
 13  Chesterfield                           1
 14  Bradford                               1
 15  North Billerica                        1
 16  Becket                                 1
 17  Petersham                              1
 18  Colrain                                1
 19  Provincetown                           1
 20  Phillipston                            1
 21  Truro                                  1
 22  Marstons Mills                         1
 23  Berlin                                 1
 24  Wales                                  1
 25  Princeton                              1
 26  West Warren                            1
 27  Clarksburg                             1
 28  East Harwich                           1
 29  West Brookfield                        1
 30  Rowe                                   1
 31  Cuttyhunk                              1
 32  Back Bay                               1
 33  Erving                                 1
 34  Marston Mills                          1
 35  Bernardston                            1
 36  Williamsburg                           1
 37  Centerville                            1
 38  North Grafton                          1
 39  Hancock                                1
 40  North Falmouth                         1
 41  Russell                                1
 42  Newbury                                1
 43  South Dennis                           1
 44  Brimfield                              1
 45  Hubbardston                            1
 46  Boxborough                             1
 47  East Weymouth                          1
 48  Lincoln                                1
 49  Pelham                                 1
 50  Carlisle                               1
 51  Leverett                               1
 52  Eastham                                1
 53  Rowley                                 1
 54  Plympton                               1
 55  East Brookfield                        1
 56  Hinsdale                               1
 57  Worthington                            1
 58  Ashfield                               1
 59  New Braintree                          1
 60  North Dighton                          1
 61  Newton Corner                          1
 62  Leyden                                 1
 63  Southampton                            1
 64  West Barnstable                        1
 65  Groveland                              1
 66  Wellfleet                              1
 67  South Dartmouth                        1
 68  Gilbertville                           1
 69  Sherborn                               1
 70  North Eastham                          1
 71  Ashby                                  1
 72  Salisbury                              1
 73  Hamilton                               1
 74  Vineyard Haven                         1
 75  Lanesborough                           1
 76  New Salem                              1
 77  Shutesbury                             1
 78  South Grafton                          1
 79  North Weymouth                         1
 80  Chester                                1
 81  Florida                                1
 82  Chilmark                               1
 83  Millville                              1
 84  Wenham                                 1
 85  Dunstable                              1
 86  Warwick                                1
 87  Hathorne                               1
 88  Paxton                                 1
 89  Richmond                               1
 90  Leeds                                  1
 91  Tyngsboro                              1
 92  Jefferson                              1
 93  Halifax                                1
 94  Essex                                  1
 95  Middleboro                             1
 96  Oakham                                 1
 97  West Dennis                            1
 98  Bournedale                             1
 99  Edgartown                              1
100  Holland                                1
101  Newton Highlands                       1
102  Gill                                   1
103  Devens                                 1
104  West Yarmouth                          2
105  Sterling                               2
106  Bolton                                 2
107  Brewster                               2
108  Boylston                               2
109  Carver                                 2
110  Berkley                                2
111  East Sandwich                          2
112  Florence                               2
113  North Brookfield                       2
114  Plainville                             2
115  Sandwich                               2
116  Ayer                                   2
117  Stow                                   2
118  Warren                                 2
119  Oak Bluffs                             2
120  Topsfield                              2
121  Northfield                             2
122  Lancaster                              2
123  Hatfield                               2
124  Adams                                  2
125  Westminster                            2
126  Hanscom Air Force Bs                   2
127  South Yarmouth                         2
128  Rochester                              2
129  South Weymouth                         2
130  Merrimac                               2
